Dátum,Kliknutia,Zobrazenia,MP,Pozícia
2025-08-02,5,84,5.95%,2.2
2025-08-03,2,43,4.65%,3
2025-08-04,0,35,0%,2.2
2025-08-05,3,47,6.38%,2.7
2025-08-06,1,39,2.56%,2.7
2025-08-07,5,69,7.25%,2.3
2025-08-08,4,81,4.94%,1.9
2025-08-09,4,120,3.33%,2.1
2025-08-10,4,47,8.51%,2.5
2025-08-11,4,78,5.13%,3
2025-08-12,2,49,4.08%,2.2
2025-08-13,5,67,7.46%,2.2
2025-08-14,4,76,5.26%,1.8
2025-08-15,5,150,3.33%,2.1
2025-08-16,11,157,7.01%,2.1
2025-08-17,0,50,0%,1.5
2025-08-18,5,74,6.76%,2.2
2025-08-19,4,67,5.97%,2.9
2025-08-20,4,61,6.56%,1.9
2025-08-21,6,65,9.23%,1.8
2025-08-22,5,69,7.25%,2.1
2025-08-23,11,136,8.09%,1.8
2025-08-24,4,60,6.67%,1.4
2025-08-25,4,54,7.41%,2.9
2025-08-26,3,65,4.62%,2.6
2025-08-27,1,43,2.33%,2.4
2025-08-28,6,89,6.74%,2.3
2025-08-29,5,78,6.41%,3
2025-08-30,8,113,7.08%,1.9
2025-08-31,3,44,6.82%,2.3
2025-09-01,1,48,2.08%,2.7
2025-09-02,4,28,14.29%,3.5
2025-09-03,2,35,5.71%,3.3
2025-09-04,1,43,2.33%,2.6
2025-09-05,2,67,2.99%,2.3
2025-09-06,11,114,9.65%,1.9
2025-09-07,1,31,3.23%,3.2
2025-09-08,7,44,15.91%,2.4
2025-09-09,3,29,10.34%,3.8
2025-09-10,3,49,6.12%,2.2
2025-09-11,1,56,1.79%,1.8
2025-09-12,5,98,5.1%,2.1
2025-09-13,6,180,3.33%,1.9
2025-09-14,4,141,2.84%,2.1
2025-09-15,0,55,0%,2.2
2025-09-16,1,54,1.85%,2
2025-09-17,1,43,2.33%,2
2025-09-18,3,44,6.82%,2.3
2025-09-19,6,138,4.35%,1.8
2025-09-20,2,142,1.41%,1.7
2025-09-21,0,54,0%,2.2
2025-09-22,3,62,4.84%,2
2025-09-23,2,67,2.99%,2
2025-09-24,3,53,5.66%,2.3
2025-09-25,1,151,0.66%,1.6
2025-09-26,5,159,3.14%,2.2
2025-09-27,4,82,4.88%,2.2
2025-09-28,3,91,3.3%,2.3
2025-09-29,0,72,0%,2.7
2025-09-30,0,37,0%,3.1
2025-10-01,1,61,1.64%,3.2
2025-10-02,2,53,3.77%,2.8
2025-10-03,2,55,3.64%,2.3
2025-10-04,7,155,4.52%,2.2
2025-10-05,1,46,2.17%,2.5
2025-10-06,1,43,2.33%,2.7
2025-10-07,0,34,0%,1.7
2025-10-08,0,49,0%,1.9
2025-10-09,3,56,5.36%,2.3
2025-10-10,3,87,3.45%,2.2
2025-10-11,4,99,4.04%,1.7
2025-10-12,3,55,5.45%,1.9
2025-10-13,1,57,1.75%,1.7
2025-10-14,2,40,5%,2.5
2025-10-15,3,70,4.29%,1.9
2025-10-16,4,65,6.15%,2.1
2025-10-17,5,101,4.95%,2.1
2025-10-18,7,100,7%,2.1
2025-10-19,3,50,6%,2.5
2025-10-20,4,66,6.06%,2.4
2025-10-21,2,54,3.7%,2.3
2025-10-22,2,73,2.74%,2
2025-10-23,7,76,9.21%,2.1
2025-10-24,7,108,6.48%,2.2
2025-10-25,8,118,6.78%,2
2025-10-26,10,80,12.5%,2.6
2025-10-27,4,44,9.09%,2.5
2025-10-28,2,49,4.08%,2.5
2025-10-29,4,63,6.35%,2
2025-10-30,3,52,5.77%,2.1
2025-10-31,2,94,2.13%,2.3
2025-11-01,1,59,1.69%,1.8
2025-11-02,1,44,2.27%,2.6
2025-11-03,1,53,1.89%,2.2
2025-11-04,3,37,8.11%,2.5
2025-11-05,2,29,6.9%,2.9
2025-11-06,3,53,5.66%,2.6
2025-11-07,6,96,6.25%,2.3
2025-11-08,5,98,5.1%,2.5
2025-11-09,5,57,8.77%,2.6
2025-11-10,7,52,13.46%,3.1
2025-11-11,5,64,7.81%,2
2025-11-12,5,72,6.94%,2.7
2025-11-13,6,93,6.45%,2
2025-11-14,6,93,6.45%,2.1
2025-11-15,4,146,2.74%,2.3
2025-11-16,2,50,4%,1.8
2025-11-17,1,54,1.85%,2.3
2025-11-18,8,69,11.59%,2.3
2025-11-19,5,139,3.6%,2
2025-11-20,2,54,3.7%,1.9
2025-11-21,5,157,3.18%,2
2025-11-22,6,133,4.51%,2.1
2025-11-23,2,67,2.99%,1.7
