Krajina,Kliknutia,Zobrazenia,MP,Pozícia
Slovensko,1293,24874,5.2%,2.12
Česko,18,119,15.13%,2.21
Nemecko,17,144,11.81%,2.53
Veľká Británia,10,368,2.72%,3.63
Holandsko,6,49,12.24%,3.43
Švajčiarsko,5,133,3.76%,1.75
Poľsko,4,42,9.52%,4.52
Rakúsko,4,34,11.76%,3.5
Nórsko,2,4,50%,2
Spojené štáty,1,158,0.63%,3.72
Ukrajina,1,62,1.61%,3.44
Taliansko,1,9,11.11%,3.22
Francúzsko,1,8,12.5%,2.62
Španielsko,1,7,14.29%,2
Island,1,4,25%,3.75
Bangladéš,1,1,100%,1
Maďarsko,0,13,0%,3.85
Írsko,0,8,0%,1.5
Belgicko,0,8,0%,2.5
Fínsko,0,6,0%,2
Švédsko,0,5,0%,4.8
Rusko,0,3,0%,2
Vietnam,0,3,0%,2.33
Brazília,0,3,0%,3.33
India,0,3,0%,4
Japonsko,0,3,0%,5.33
Dominikánska republika,0,2,0%,1
Dánsko,0,2,0%,1.5
Čierna Hora,0,2,0%,2
Saudská Arábia,0,2,0%,3.5
Cyprus,0,2,0%,4.5
Venezuela,0,2,0%,5
Estónsko,0,2,0%,6
Turecko,0,2,0%,7
Filipíny,0,2,0%,8
Portugalsko,0,2,0%,9
Južná Kórea,0,2,0%,9.5
Argentína,0,1,0%,1
Kanada,0,1,0%,1
Chorvátsko,0,1,0%,1
Moldavsko,0,1,0%,1
Alžírsko,0,1,0%,2
Grécko,0,1,0%,2
Kazachstan,0,1,0%,2
Pakistan,0,1,0%,2
Ostrov Man,0,1,0%,3
Austrália,0,1,0%,4
Bosna a Hercegovina,0,1,0%,4
Chile,0,1,0%,4
Faerské ostrovy,0,1,0%,5
Kirgizsko,0,1,0%,5
Egypt,0,1,0%,6
Mongolsko,0,1,0%,6
Malajzia,0,1,0%,6
Srí Lanka,0,1,0%,7
Luxembursko,0,1,0%,9
Ekvádor,0,1,0%,23
Macedónsko,0,1,0%,43
Rumunsko,0,1,0%,46
